id,row_type,living_bath_tradition_name,country_public_bath_status,public_bathhouse_type,representative_site,use_notes,website_ready_summary,name,country,location,latitude,longitude,heritage_designation,designation_year,heritage_category,period_or_date,architectural_cultural_type,short_description,story,historical_value,intangible_rituals_heritage,key_features,current_condition_access,current_use_category,still_used_for_bathing,visitor_cost_summary,cost_currency,cost_min_numeric,cost_max_numeric,cost_basis,cost_source_url,cost_last_checked,cost_confidence,source_urls,tags
bath-001,heritage_site,Roman thermal complex; Georgian spa city; mineral spring urbanism,Varies by site; see current_use_category,Roman thermal complex; Georgian spa city; mineral spring urbanism,City of Bath,Partly: original Roman Baths are not used for bathing; modern Thermae Bath Spa uses Bath thermal waters nearby.,"A Roman and Georgian spa city shaped around natural hot springs, cure culture, and polite urban sociability.",City of Bath,United Kingdom,"Bath, England",51.3813,-2.3591,UNESCO World Heritage Site; component of The Great Spa Towns of Europe,1987; 2021,World Heritage spa city,Roman foundation in 1st century CE; Georgian spa city developed mainly in 18th century,Roman thermal complex; Georgian spa city; mineral spring urbanism,"A Roman and Georgian spa city shaped around natural hot springs, cure culture, and polite urban sociability.","Bath began as Aquae Sulis, a Roman thermal settlement built around sacred hot springs. In the Georgian period it became one of Europe's most influential spa cities, where bathing, drinking mineral water, promenading, assemblies, and architecture formed a complete health and social landscape.","UNESCO values Bath for its Roman remains, hot springs, Georgian architecture, planned urban ensembles, and its role in shaping the European spa town model.","Thermal bathing, drinking the waters, promenading, assembly-room sociability, cure-taking, and continuing public identity around healing water.",Roman Baths; Temple of Sulis Minerva; Pump Room; Royal Crescent; Circus; Assembly Rooms; Bath stone streetscape,Accessible as a major visitor destination; Roman Baths and spa heritage sites are interpreted for the public. Managed through World Heritage plans.,Heritage museum + active modern thermal bathing nearby,Partly: original Roman Baths are not used for bathing; modern Thermae Bath Spa uses Bath thermal waters nearby.,"Roman Baths museum adult ticket varies by date, roughly GBP 29-33; modern Thermae Bath Spa bathing sessions typically start around GBP 40+.",GBP,29,45,"Adult heritage admission for Roman Baths; separate modern spa session at Thermae Bath Spa. Dynamic pricing, verify before launch.",https://www.romanbaths.co.uk/tickets-prices | https://www.thermaebathspa.com/spa-sessions-and-packages/,2026-07-03,Medium,https://whc.unesco.org/en/list/428/ | https://whc.unesco.org/en/list/1613/ | https://www.greatspatownsofeurope.eu/the-great-spa-towns/creating-a-world-heritage-site/city-of-bath/,roman bath; spa town; hot springs; georgian architecture; unesco
bath-002,heritage_site,Imperial spa town; Habsburg resort landscape,Varies by site; see current_use_category,Imperial spa town; Habsburg resort landscape,Baden bei Wien,Yes. Baden remains a working spa town; bathing is mainly through modern facilities such as Römertherme Baden rather than preserved historic bathing interiors.,"A Habsburg imperial spa near Vienna, shaped by thermal springs, gardens, villas, music, and courtly leisure.",Baden bei Wien,Austria,"Baden bei Wien, Lower Austria",48.01,16.2336,Component of UNESCO World Heritage Site: The Great Spa Towns of Europe,2021,World Heritage spa town,Roman spring use; major Habsburg spa development from 15th to 19th centuries,Imperial spa town; Habsburg resort landscape,"A Habsburg imperial spa near Vienna, shaped by thermal springs, gardens, villas, music, and courtly leisure.","Known since Roman times, Baden bei Wien became a prestigious imperial spa associated with the Habsburgs. Its identity grew around cure-taking, park landscapes, spa hotels, and cultural life close to Vienna.","It represents the imperial dimension of European spa culture and the close relationship between monarchy, medicine, leisure, and designed landscapes.","Thermal bathing, cure walks, music in spa gardens, seasonal resort life, and elite spa sociability.",Kurhaus; Trinkhalle; spa garden; thermal baths; Sauerhof; villas; music pavilion,"Active spa town and World Heritage component, managed locally and through the transnational Great Spa Towns framework.",Active spa town / modern thermal bathing,Yes. Baden remains a working spa town; bathing is mainly through modern facilities such as Römertherme Baden rather than preserved historic bathing interiors.,Town/heritage exterior access is generally free; Römertherme Baden adult thermal admission is typically in the EUR 20-30 range depending on duration/day.,EUR,20,30,Typical adult thermal bath entry range; verify current tariff.,https://www.roemertherme.at/ | https://whc.unesco.org/en/list/1613/,2026-07-03,Low,https://whc.unesco.org/en/list/1613/ | https://www.greatspatownsofeurope.eu/the-great-spa-towns/creating-a-world-heritage-site/baden-bei-wien/,spa town; habsburg; thermal bath; cure culture; unesco
bath-003,heritage_site,Spring resort; casino and cure town,Varies by site; see current_use_category,Spring resort; casino and cure town,Spa,Yes. Spa remains an active thermal destination; bathing is centred on Les Thermes de Spa and related wellness facilities.,"The Belgian town that gave the word 'spa' to many languages, famous for springs, gaming, and therapeutic walks.",Spa,Belgium,"Spa, Liège Province",50.4922,5.8669,Component of UNESCO World Heritage Site: The Great Spa Towns of Europe,2021,World Heritage spa town,Early modern spring fame; major 18th and 19th century development,Spring resort; casino and cure town,"The Belgian town that gave the word 'spa' to many languages, famous for springs, gaming, and therapeutic walks.","Spa became internationally famous through its mineral springs and attracted European elites. Its hillside springs, promenades, and gaming culture helped define the European spa as a place of both cure and sociability.",It is one of the foundational models of the European spa phenomenon and a key source of the international term 'spa'.,"Crenotherapy, drinking spring waters, therapeutic walks, casino culture, and elite gathering rituals.",Spring pavilions; wooded walks; casino tradition; baths; promenades; Redoute legacy,Active heritage spa town within the Great Spa Towns serial property.,Active spa town / modern thermal bathing,Yes. Spa remains an active thermal destination; bathing is centred on Les Thermes de Spa and related wellness facilities.,Town/heritage exterior access is generally free; Les Thermes de Spa adult entry is typically around EUR 25-40 depending on time slot/package.,EUR,25,40,Typical adult spa entry range; verify current tariff.,https://www.thermesdespa.com/ | https://whc.unesco.org/en/list/1613/,2026-07-03,Low,https://whc.unesco.org/en/list/1613/ | https://www.greatspatownsofeurope.eu/the-great-spa-towns/creating-a-world-heritage-site/spa/,spa town; mineral springs; casino; cure culture; unesco
bath-004,heritage_site,Planned neoclassical spa town; peat and mineral cure landscape,Varies by site; see current_use_category,Planned neoclassical spa town; peat and mineral cure landscape,Františkovy Lázně,Yes. The town remains a working spa destination; public bathing/wellness is available at facilities such as Aquaforum.,"A planned Bohemian spa town with springs, pavilions, parks, and a noted history of peat-spa treatments.",Františkovy Lázně,Czechia,"Františkovy Lázně, Karlovy Vary Region",50.1172,12.3506,Component of UNESCO World Heritage Site: The Great Spa Towns of Europe,2021,World Heritage spa town,Planned spa town from late 18th to 19th century,Planned neoclassical spa town; peat and mineral cure landscape,"A planned Bohemian spa town with springs, pavilions, parks, and a noted history of peat-spa treatments.","Františkovy Lázně was designed as an ideal spa town, with a formal grid, park belts, spring pavilions, and therapeutic landscapes. It became known for mineral and peat treatments, including traditions tied to women's health.","It shows how spa urbanism could be deliberately planned around medical treatment, walking, greenery, and spring access.","Mineral-water drinking, peat and mud therapies, physician-guided cures, promenading, and seasonal spa routines.",Spring pavilions; orthogonal town plan; park belts; spa houses; peat treatment landscape,Active spa town and preserved World Heritage component.,Active spa town / modern aquapark and treatments,Yes. The town remains a working spa destination; public bathing/wellness is available at facilities such as Aquaforum.,Town/heritage exterior access is generally free; Aquaforum adult admission commonly falls around CZK 250-500 depending on duration/package.,CZK,250,500,Typical public aquapark/spa admission range; verify current tariff.,https://www.franzensbad.cz/en/aquaforum/ | https://whc.unesco.org/en/list/1613/,2026-07-03,Low,https://whc.unesco.org/en/list/1613/ | https://www.greatspatownsofeurope.eu/the-great-spa-towns/creating-a-world-heritage-site/frantiskovy-lazne/,spa town; bohemian spa triangle; peat therapy; planned town; unesco
bath-005,heritage_site,Thermal resort town; colonnade spa landscape,Varies by site; see current_use_category,Thermal resort town; colonnade spa landscape,Karlovy Vary,"Yes. Karlovy Vary remains a living spa town, especially for mineral-water drinking cures; bathing/treatments occur in hotels, clinics, and spa facilities.","A grand Central European thermal resort known for hot springs, colonnades, drinking cures, and international visitors.",Karlovy Vary,Czechia,"Karlovy Vary, Karlovy Vary Region",50.2231,12.8836,Component of UNESCO World Heritage Site: The Great Spa Towns of Europe,2021,World Heritage spa town,Hot spring use since medieval/early modern period; major 19th century spa development,Thermal resort town; colonnade spa landscape,"A grand Central European thermal resort known for hot springs, colonnades, drinking cures, and international visitors.","Karlovy Vary became one of Europe's most famous spa towns, structured around dramatic thermal springs and colonnades where visitors performed the drinking cure. Its streets and river valley became an open-air salon for aristocrats, artists, and political figures.","It demonstrates the social, architectural, and medical importance of the drinking cure and balneological science in European spa culture.","Drinking hot mineral water from porcelain cups, walking between colonnades, bathing, medical consultation, and seasonal spa life.",Hot Spring Colonnade; Mill Colonnade; spring pavilions; spa cups; villas; river-valley promenades,Active spa destination and World Heritage component.,Active spa town / drinking cure and paid spa treatments,"Yes. Karlovy Vary remains a living spa town, especially for mineral-water drinking cures; bathing/treatments occur in hotels, clinics, and spa facilities.","Colonnades and spring tasting are generally free; paid pool/spa/treatment access varies widely, often from about CZK 300+ for basic pool/wellness entry.",CZK,0,300+,Free public colonnade access; separate wellness/treatment pricing by facility.,https://www.karlovyvary.cz/en | https://whc.unesco.org/en/list/1613/,2026-07-03,Medium,https://whc.unesco.org/en/list/1613/ | https://www.greatspatownsofeurope.eu/the-great-spa-towns/creating-a-world-heritage-site/karlovy-vary/,spa town; hot springs; drinking cure; colonnades; unesco
bath-006,heritage_site,Spa-in-the-park; mineral spring landscape,Varies by site; see current_use_category,Spa-in-the-park; mineral spring landscape,Mariánské Lázně,"Yes. Mariánské Lázně remains a therapeutic spa town with mineral springs, colonnades, and hotel-based treatments.","A park-like spa town where mineral springs, colonnades, pavilions, and wooded cure trails form a therapeutic landscape.",Mariánské Lázně,Czechia,"Mariánské Lázně, Karlovy Vary Region",49.9772,12.7067,Component of UNESCO World Heritage Site: The Great Spa Towns of Europe,2021,World Heritage spa town,Early 19th century planned spa development,Spa-in-the-park; mineral spring landscape,"A park-like spa town where mineral springs, colonnades, pavilions, and wooded cure trails form a therapeutic landscape.","Mariánské Lázně developed as a 'spa in the park', where architecture and landscape design were inseparable from the cure. Visitors moved between springs, colonnades, park paths, and treatment houses as part of a medically guided routine.",It is valued for the fusion of spa architecture with landscape design and the creation of a therapeutic townscape.,"Drinking cures, balneotherapy, wooded cure walks, seasonal resort routines, and music-filled public spaces.",Main colonnade; spring pavilions; central park; wooded paths; spa houses,Active spa town and preserved World Heritage component.,Active spa town / drinking cure and paid spa treatments,"Yes. Mariánské Lázně remains a therapeutic spa town with mineral springs, colonnades, and hotel-based treatments.","Colonnades and many springs are generally free; spa procedures and wellness access vary by facility, often from about CZK 300+ for basic access/treatments.",CZK,0,300+,Free public spring/colonnade access; separate spa treatment pricing by facility.,https://www.marianskelazne.cz/en/ | https://whc.unesco.org/en/list/1613/,2026-07-03,Medium,https://whc.unesco.org/en/list/1613/ | https://www.greatspatownsofeurope.eu/the-great-spa-towns/creating-a-world-heritage-site/marianske-lazne/,spa town; mineral springs; park landscape; balneotherapy; unesco
bath-007,heritage_site,French model spa city; thermal resort urbanism,Varies by site; see current_use_category,French model spa city; thermal resort urbanism,Vichy,"Yes. Vichy is still used for thermal cures, mineral-water drinking, and wellness, largely through modern spa and hotel facilities.","A French model spa city with grand thermal establishments, promenades, parks, casino culture, and bottled-water heritage.",Vichy,France,"Vichy, Auvergne-Rhône-Alpes",46.1236,3.4203,Component of UNESCO World Heritage Site: The Great Spa Towns of Europe,2021,World Heritage spa town,Major expansion under Napoleon III and in the 19th century,French model spa city; thermal resort urbanism,"A French model spa city with grand thermal establishments, promenades, parks, casino culture, and bottled-water heritage.","Vichy became the most prestigious French spa town, especially under Napoleon III. Its boulevards, parks, bath complexes, pump rooms, casino, theatre, and hotels turned the cure into a full urban and leisure system.",It demonstrates the French contribution to European spa urbanism and the extension of spa culture through bottled mineral water and health branding.,"Drinking mineral water, thermal bathing, promenading, theatre and casino-going, and seasonal elite spa life.",Thermal establishments; Hall des Sources; parks; casino-theatre; promenades; spa hotels,Active heritage spa town within the UNESCO serial property.,Active spa town / drinking cure and medical-wellness spa,"Yes. Vichy is still used for thermal cures, mineral-water drinking, and wellness, largely through modern spa and hotel facilities.","Public heritage/spring areas are often free; thermal spa and treatment access varies widely, usually from EUR 30+ for wellness access and much more for packages.",EUR,0,30+,Free public access for some heritage areas; paid wellness/treatments vary by facility.,https://www.vichy-destinations.fr/ | https://whc.unesco.org/en/list/1613/,2026-07-03,Low,https://whc.unesco.org/en/list/1613/ | https://www.greatspatownsofeurope.eu/the-great-spa-towns/creating-a-world-heritage-site/vichy/,spa town; france; thermal baths; bottled water; unesco
bath-008,heritage_site,Compact imperial spa town; river-valley cure landscape,Varies by site; see current_use_category,Compact imperial spa town; river-valley cure landscape,Bad Ems,"Yes. Bad Ems remains a spa town; modern bathing is available at Emser Therme, using local thermal mineral water.","A compact imperial spa on the Lahn River, showing long continuity from medieval bathing to elite European resort culture.",Bad Ems,Germany,"Bad Ems, Rhineland-Palatinate",50.3306,7.7286,Component of UNESCO World Heritage Site: The Great Spa Towns of Europe,2021,World Heritage spa town,Medieval bathing traditions; major 18th and 19th century spa development,Compact imperial spa town; river-valley cure landscape,"A compact imperial spa on the Lahn River, showing long continuity from medieval bathing to elite European resort culture.","Bad Ems grew around a tight cluster of springs in a river valley. Its bathing culture evolved from older wild-bath traditions into a refined imperial spa landscape of bath houses, pump rooms, hotels, and therapeutic walks.",It illustrates the long continuity and changing form of European bathing traditions over several centuries.,"Thermal bathing, drinking cures, riverside promenading, spa walking, and seasonal resort routines.",Kurhaus; pump room; bath houses; spa park; Lahn riverside setting; mineral-water production,Active spa town and UNESCO component.,Active spa town / modern thermal bathing,"Yes. Bad Ems remains a spa town; modern bathing is available at Emser Therme, using local thermal mineral water.",Heritage town access is generally free; Emser Therme adult admission is typically around EUR 18-35 depending on duration and sauna inclusion.,EUR,18,35,Typical adult thermal bath / sauna range; verify current tariff.,https://www.emser-therme.de/ | https://whc.unesco.org/en/list/1613/,2026-07-03,Low,https://whc.unesco.org/en/list/1613/ | https://www.greatspatownsofeurope.eu/the-great-spa-towns/creating-a-world-heritage-site/bad-ems/,spa town; imperial spa; mineral water; germany; unesco
bath-009,heritage_site,Black Forest thermal resort; casino-spa culture,Varies by site; see current_use_category,Black Forest thermal resort; casino-spa culture,Baden-Baden,"Yes. Baden-Baden is actively used for bathing, especially at Caracalla Therme and the historic Friedrichsbad.","A famous Black Forest spa town with thermal baths, gaming culture, villas, promenades, and an enduring wellness identity.",Baden-Baden,Germany,"Baden-Baden, Baden-Württemberg",48.7575,8.2425,Component of UNESCO World Heritage Site: The Great Spa Towns of Europe,2021,World Heritage spa town,Ancient spring use; major 19th century spa and casino development,Black Forest thermal resort; casino-spa culture,"A famous Black Forest spa town with thermal baths, gaming culture, villas, promenades, and an enduring wellness identity.","Baden-Baden became one of Europe's most fashionable spa resorts, combining mineral bathing, elite sociability, gaming, culture, and nature. Its Kurhaus and spa quarter helped define the glamour of the 19th-century German spa.","It shows how mineral-water therapy, luxury hospitality, gaming, and cultural life converged in the European resort town.","Thermal bathing, wellness routines, casino culture, concerts, promenading, and spa tourism.",Kurhaus; casino; thermal baths; Lichtentaler Allee; spa quarter; villas,Active spa and cultural destination within the UNESCO serial property.,Active spa town / historic and modern thermal bathing,"Yes. Baden-Baden is actively used for bathing, especially at Caracalla Therme and the historic Friedrichsbad.","Town/heritage exterior access is generally free; Caracalla Therme basic entry commonly starts around EUR 20+; Friedrichsbad ritual bathing is usually higher, around EUR 35+.",EUR,20,45,Typical adult thermal bath and historic bathing entry range; verify current tariff.,https://caracalla.de/en/ | https://friedrichsbad.eu/en/ | https://whc.unesco.org/en/list/1613/,2026-07-03,Medium,https://whc.unesco.org/en/list/1613/ | https://www.greatspatownsofeurope.eu/the-great-spa-towns/creating-a-world-heritage-site/baden-baden/,spa town; thermal bath; casino; black forest; unesco
bath-010,heritage_site,Reform-era spa town; brine and mineral cure landscape,Varies by site; see current_use_category,Reform-era spa town; brine and mineral cure landscape,Bad Kissingen,"Yes. Bad Kissingen remains a spa town; bathing is mainly in KissSalis Therme and spa treatments, while historic drinking-cure culture continues around the Wandelhalle and springs.","A Bavarian spa town known for its Wandelhalle, brine heritage, formal gardens, and health-tourism continuity.",Bad Kissingen,Germany,"Bad Kissingen, Bavaria",50.1978,10.075,Component of UNESCO World Heritage Site: The Great Spa Towns of Europe,2021,World Heritage spa town,19th century spa development; major early 20th century reform-era works,Reform-era spa town; brine and mineral cure landscape,"A Bavarian spa town known for its Wandelhalle, brine heritage, formal gardens, and health-tourism continuity.","Bad Kissingen grew around mineral springs and brine production, later becoming a major 19th-century spa town. Early 20th-century works by Max Littmann modernized its spa architecture while preserving the choreography of cure-taking.","It bridges classical spa architecture and modern reform-era health culture, showing the evolution of spa infrastructure.","Drinking cures, inhalation and brine therapies, promenading, concerts, and physician-guided health visits.",Wandelhalle; pump room; spa gardens; Luitpold bath house; Upper Saline; cure architecture,Active spa town and UNESCO component; some historic elements have required conservation attention.,Active spa town / modern thermal bathing and drinking cure,"Yes. Bad Kissingen remains a spa town; bathing is mainly in KissSalis Therme and spa treatments, while historic drinking-cure culture continues around the Wandelhalle and springs.",Heritage town access is generally free; KissSalis Therme adult admission is typically around EUR 18-35 depending on duration and sauna options.,EUR,18,35,Typical adult thermal bath / sauna range; verify current tariff.,https://www.kisssalis.de/ | https://whc.unesco.org/en/list/1613/,2026-07-03,Low,https://whc.unesco.org/en/list/1613/ | https://www.greatspatownsofeurope.eu/the-great-spa-towns/creating-a-world-heritage-site/bad-kissingen/,spa town; brine; wandelhalle; germany; unesco
